neuroimaging_modality,fmri_design_type,event_design,task_type,condition_type,conditions,total_length_seconds,mri_field_strength,pulse_sequence_type,imaging_type,resolution_mm,analysis_software,preprocessing_steps,statistical_model,pain_type,pain_location,pain_modality,pain_intensity,pain_duration,pmcid
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,EPI,3.8,AFNI,"['motion correction', 'slice timing correction']",GLM,,,,,,10172683
fMRI,task-based,block,cognitive,,"['0-back', '1-back']",510.0,3T,spin echo,echo planar imaging (EPI),1.0,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,7079031
MRI,,,,,,1200.0,,multiparameter mapping,"T1-weighted, PD-weighted and MT-weighted sequence",,"ANTS, SPSS, MATLAB, CamBA","['head mask creation', 'image alignment', 'skull stripping', 'segmentation', 'normalisation']",GLM,,,,,,5842730
fMRI,task-based,mixed,cognitive,neutral,"['high saturation', 'middle saturation', 'low saturation']",800.0,3T,gradient echo,echo planar imaging (EPI),3.8,SPM8,"['slice timing correction', 'motion correction']",GLM,,,,,,5966381
PET,,,,,,3600.0,,,,,PMOD,,multilinear reference tissue model (MRTM2),,,,,,5966381
VBM,,,,,,,,,,,SDM,,ALE,,,,,,7729009
fNIRS,,,motor,,"['solo action', 'joint action (alternating)', 'observation', 'joint action (simultaneous)']",,,,,,Presentation Software 12.2,"['baseline correction', 'moving average']",t-tests,,,,,,3168792
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['Short', 'Long', 'None']",516.0,3T,gradient echo,EPI,3.5,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,7531545
fMRI-BOLD,resting-state,,,,,300.0,3T,gradient echo,echo planar imaging (EPI),3,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,4366046
MRI,,,,,,,3T,fast spoiled gradient echo,3D,0.47,SPM8,"['motion correction', 'bias field correction', 'segmentation', 'normalization']",GLM,,,,,,3850907
fMRI-BOLD,task-based,mixed,motor,neutral,"['Specified condition', 'Chosen condition', 'Null trials']",,3T,EPI,EPI,3x3,SPM5,"['motion correction', 'slice timing correction']",GLM,,,,,,2877799
fMRI-BOLD,task-based,block,cognitive,neutral,"['congruent', 'incongruent']",1440.0,3T,gradient echo,EPI,3x3,FSL,"['motion correction', 'spatial smoothing', 'intensity normalizing', 'high pass temporal filtering']",GLM,,,,,,5145909
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['certain go', 'informed', 'uninformed']",2460.0,3T,gradient echo,echo planar imaging (EPI),3,SPM12,"['slice timing correction', 'realignment', 'coregistration', 'normalization', 'smoothing']",GLM,,,,,,6472739
PET,,,,,,,,,,<2mm,SPM8,,,,,,,,5574875
fMRI-BOLD,resting-state,,,,,,3T,T2*-weighed echo-planar imaging (EPI),EPI,3,SPM12,"['motion correction', 'slice timing correction', 'band-pass filtering', 'normalization', 'smoothing']",ANCOVA,,,,,,6293319
PET,,,,,,,,,,,,,,chronic,knee,,,long,4969259
MRI,task-based,mixed,pain,painful,"['painful', 'non-painful']",,3T,pCASL,3D spiral,1,"FSL, SPM","['motion correction', 'brain extraction']",GLM,chronic,knee,,,long,4969259
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['cash-out', 'explosion']",540.0,3T,gradient echo,echo planar imaging (EPI),3x3x4,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,4639442
fMRI-BOLD,resting-state,,,,,385.0,3T,turbo field echo (TFE),echo-planar imaging (EPI),3,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,8777079
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['trust influence', 'distrust influence', 'baseline']",630.0,3T,echo-planar imaging (EPI),EPI,3 mm,SPM8,"['motion correction', 'slice timing correction', 'spatial normalization', 'smoothing']",GLM,,,,,,6378867
ASL MRI,,,,,,,3T,ASL,,3.33,"AFNI, SPM8","['motion correction', 'smoothing']",general linear mixed-effects model,,,,,,5653700
fMRI-BOLD,task-based,mixed,pain,non-painful,"['CS+', 'CS-']",192.0,3T,gradient echo,echo planar imaging (EPI),3x3x3,SPM8,"['motion correction', 'slice timing correction', 'coregistration', 'normalization', 'smoothing']",GLM,null,null,electrical,medium,null,3384234
fMRI-BOLD,resting-state,,,,,400.0,3T,gradient echo,echo planar imaging (EPI),2.2,Data Processing and Analysis of Brain Imaging toolbox,"['motion correction', 'slice timing correction']",ANOVA,,,,,,10434787
fMRI-BOLD,resting-state,,,,,600.0,3T,gradient echo,echo planar imaging (EPI),3x3x3,SPM12,"['removal of the first five volumes', 'slice time correction', 'realignment', 'segmentation', 'nuisance covariates regression with white matter and cerebrospinal fluid', 'head motion correction', 'head motion scrubbing', 'bandpass filtering of the frequencies 0.01-0.08 Hz', 'linear detrending']",GLM,,,,,,9403141
fMRI,task-based,mixed,cognitive,neutral,"['competition', 'non-competition']",7200.0,3T,gradient echo,3D,1,SPM8,"['motion correction', 'eddy current correction']",GLM,,,,,,4229230
fMRI-BOLD,resting-state,,,,,900.0,3T,gradient echo,echo planar imaging (EPI),5.0,SPM8,"['converting DICOM to NIFTI', 'slice timing after removing first 10 time points', 'realigning and excluding subjects with max head motion > 1.5mm on any axis and head rotation > 1.5 degrees', 'segmenting and affixer regularization according to East Asians', 'normalizing by using EPI templates', 'smoothing images with a Gaussian kernel with isotropic full-width at half-maximum (FWHM) of 6mm', 'removing the linear tendency of the data']",t-test,,,,,,5027048
fMRI,task-based,block,cognitive,neutral,"['faces', 'written words', 'spoken words']",900.0,3T,EPI,EPI,3,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,8249894
fMRI-BOLD,task-based,block,cognitive,neutral,"['large win', 'small win', 'large loss', 'small loss', 'neutral']",600.0,3T,gradient-echo,spiral,3.44 x 3.44,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,8812963
fMRI-BOLD,task-based,block,cognitive,non-painful,"['food', 'non-food']",180.0,3T,gradient echo,echo planar imaging (EPI),3.33,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,9158182
fMRI-BOLD,task-based,event-related,motor,,,600.0,3T,spin echo,echo planar imaging (EPI),2.0,SPM12,"['motion correction', 'coregistration', 'segmentation', 'normalization', 'spatial smoothing']",GLM,experimental,left medial forearm,thermal,medium,short,6981017
MRI,,,,,,,3T,MPRAGE,3D,1,SPM8,"['tissue segmentation', 'spatial normalization', 'spatial smoothing']",two-sample t-test,,,,,,10218831
fMRI-BOLD,resting-state,,,,,300.0,4T,gradient echo,echo planar imaging (EPI),3.1,SPM8,"['realignment', 'normalization to MNI space', 'scrubbing', 'band-pass temporal filtering']",flexible factorial design,,,,,,5138152
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,echo planar imaging (EPI),4,SPM,"['slice timing', 'realignment', 'co-registration with the anatomical scan', 'segment into gray matter (GM), white matter (WM), and cerebrospinal fluid (CSF)', 'normalization into Montreal Neurological Institute (MNI) template', 'smoothing using a 6 mm full-width half-maximum (FWHM) Gaussian kernel']",GLM,,,,,,9403534
fMRI-BOLD,resting-state,,,,,360.0,3T,EPI,EPI,3,"DPABI 2.2, REST","['slice-timing', 'realignment to reduce head motion', 'spatial normalization to MNI', 'linear detrending', 'temporal band-pass filtering', 'nuisance signals regression']",ANOVA,,,,,,7196208
fMRI,task-based,block,cognitive,neutral,"['phonological', 'semantic']",2040.0,3T,gradient echo,echo planar imaging (EPI),2x2x2,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,10785560
EEG,,,,,,1800.0,,,,,BESA 2000,"['artifact rejection', 'blink correction']",ANOVA,,,,,,2668652
fMRI,task-based,mixed,emotional,neutral,"['fear', 'neutral']",1800.0,,,,,"BCI2000, MATLAB, EEGLAB","['visual inspection', 'independent component analysis (ICA)', 'artifact removal']",Granger causality (GC),,,,,,8847905
MRI,,,,,,,1.5T,T1-FFE,,1.0,SPM12,"['visual screening for artifacts', 'smoothing with an 8-mm full width at half maximum (FWHM) Gaussian kernel']",voxel-based morphometry,,,,,,9187556
fMRI,task-based,mixed,cognitive,,"['congruent', 'incongruent', 'no cue']",2520.0,1.5T,EPI,3D,,SPM12,"['slice timing correction', 'realignment', 'image coregistration', 'normalization based on segmentation', 'spatial smoothing']",ANOVA,,,,,,6807652
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3.5,DPARSF,"['motion correction', 'slice timing correction', 'realignment', 'normalization', 'smoothing']",GLM,,,,,,7647379
fMRI-BOLD,resting-state,,,,,,3T,gradient echo,Echo Planar Imaging (EPI),3.4,AFNI,"['motion correction', 'slice timing correction', 'temporal band-pass filtering', 'spatial normalization', 'spatial smoothing']",GLM,,,,,,8220401
MRI,,,,,,,3T,,,,"FSL, FreeSurfer",['motion correction'],GLM,,,,,,4809899
DTI,,,,,,,3T,,,,"FSL, FreeSurfer",['motion correction'],network-based statistics,,,,,,4809899
fMRI-BOLD,task-based,block,emotional,neutral,"['angry', 'fearful', 'surprised', 'neutral']",48.0,3T,gradient echo,echo planar imaging (EPI),2.3,SPM,"['realignment', 'co-registration', 'segmentation', 'spatial normalization', 'smoothing']",GLM,,,,,,8699721
fMRI-BOLD,task-based,block,cognitive,neutral,"['neutral', 'negative', 'positive']",510.0,3T,EPI-SENSE,echo planar imaging (EPI),3,SPM8,"['realigned', 'corrected for differences in acquisition time between slices', 'co-registered', 'spatially normalized into standard stereotactic space', 'spatially smoothed using a 6-mm FWHM Gaussian kernel']",ANOVA,,,,,,6046038
fMRI-BOLD,resting-state,,,,,390.0,3T,echo planar imaging,EPI,3.6,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,8104007
fMRI,task-based,mixed,cognitive,neutral,"['control', 'experimental']",425.0,3T,gradient echo,EPI,3.75,SPM12,"['motion correction', 'slice timing correction', 'normalisation', 'smoothing']",GLM,,,,,,9002567
fMRI-BOLD,resting-state,,,,,512.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['NIFTI format conversion', 'removal of first 10 volumes', 'slice timing', 'head-motion correction', 'coregistration of T1 structural images to functional images', 'nuisance covariates regression', 'spatial normalization to MNI space', 'smoothing', 'filtering']",ANCOVA,,,,,,8414999
fMRI-BOLD,task-based,block,emotional,neutral,"['Maintain', 'Reappraisal']",600.0,3T,gradient echo,EPI,3,FSL,"['motion correction', 'non-brain removal', 'spatial smoothing', 'grand-mean intensity normalisation', 'registration of the functional space template to the anatomical space', 'highpass temporal filtering', 'fieldmap correction']",GLM,,,,,,5068756
fMRI-BOLD,task-based,block,cognitive,neutral,"['familiar own music', 'familiar other music', 'unfamiliar other music']",2400.0,1.5T,echo-planar,EPI,3.4,SPM8,"['slice-time correction', 'realignment', 'spatial normalization', 'smoothing']",GLM,,,,,,7481778
fMRI-BOLD,resting-state,,,,,400.0,3T,gradient echo,echo planar imaging (EPI),3,DPABI,"['slice timing correction', 'head motion correction']",GLM,,,,,,6337807
fMRI-BOLD,task-based,event-related,cognitive,,"['functional', 'positional']",664.0,3T,T2*-weighted,EPI,3.5,SPM5,"['motion correction', 'slice timing correction']",GLM,,,,,,4182029
fMRI,task-based,event-related,cognitive,neutral,"['True Positive', 'Lie Positive', 'True Negative', 'Lie Negative']",,3T,spin echo,echo planar imaging (EPI),4,SPM5,"['realigned', 'slice-timed', 'normalized', 'smoothed']",GLM,,,,,,2928271
,,,,,,,,,,,,,,,,,,,6638857
fMRI-BOLD,task-based,block,cognitive,non-painful,"['reading', 'baseline']",360.0,,,,,SPM12,"['motion correction', 'smoothing', 'normalization', 'realignment', 'coregistration']",GLM,,,,,,6817507
fMRI-BOLD,task-based,mixed,cognitive,,"['imagery', 'perception']",5400.0,,,,,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,5516016
fMRI-BOLD,task-based,block,cognitive,neutral,"['diagnostically specific', 'diagnostically neutral']",512.0,3T,EPI,2D EPI,3,SPM 12,"['realignment of the functional data for correction of head motion', 'coregistration between the high-resolution anatomical image and the functional scans', 'intra-individual estimation of spatial registration parameters based on the anatomical image', 'transformation of the coregistered functional data to standardized Montreal Neurological Institute (MNI) space', 'spatial smoothing with a 6mm full-width-at-half-maximum Gaussian kernel']",GLM,,,,,,5809475
fMRI,task-based,mixed,cognitive,non-painful,"['control math task (CMT)', 'stress math task (SMT)']",3600.0,3T,gradient echo,echo planar imaging (EPI),2.5,AFNI,"['motion correction', 'slice timing correction']",GLM,,,,,,7732671
PET,,,,,,165.0,,,,,SPM2,"['motion correction', 'attenuation correction']",unpaired t-test,,,,,,4457827
fMRI,task-based,event-related,cognitive,neutral,"['BC', 'BC', 'CB', 'CC']",480.0,3T,T2-weighted,EPI,2.75,FSL,"['motion correction', 'non-brain removal', 'spatial smoothing', 'grand-mean intensity normalization', 'high-pass temporal filtering']",GLM,,,,,,3277937
fMRI,task-based,mixed,cognitive,painful,"['Avoidable CS+', 'Unavoidable CS+', 'Safe CS']",540.0,3T,echo-planar imaging,EPI,3.5,SPM,"['reorientation', 'slice acquisition time correction', 'coregistration', 'within-subject realignment', 'spatial normalization', 'spatial smoothing']",GLM,,,,,,4461832
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['congruent', 'incongruent']",2100.0,3T,gradient echo,echo planar imaging (EPI),3x3x3,SPM,"['slice-timing correction', 'motion correction']",GLM,,,,,,5820311
fMRI,task-based,event-related,cognitive,neutral,"['fear same', 'fear opposite']",600.0,3T,spin echo,echo planar imaging (EPI),1,SPM8,"['motion correction', 'slice timing correction', 'realignment', 'co-registration', 'normalization', 'smoothing']",GLM,,,,,,3384259
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['SFW', 'SFL', 'AFW', 'AFL']",,3T,gradient echo,EPI,2.4x1.8,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,4113975
fMRI-BOLD,task-based,block,motor,non-painful,"['thumb-to-finger opposition', 'thumb flexion', 'thumb circumduction']",,1.5T,gradient echo,echo planar imaging (EPI),2x2x5,SPM,"['motion correction', 'slice timing correction']",GLM,chronic,hand,mechanical,medium,short,6506638
fMRI-BOLD,task-based,block,cognitive,non-painful,"['W', 'NW', 'R', 'NR']",5400.0,3T,gradient echo,EPI,2,SPM8,"['motion correction', 'normalization', 'smoothing']",GLM,,,,,,3756280
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,EPI,,DPABI,"['time layer correction', 'head motion correction', 'spatial standardization', 'linear drift', 'regression to remove covariates', 'filtering']",t-test,chronic,,,,,9922777
MRI,,,,,,,1.5T,MPRAGE,,1.2,FSL,"['median filtering', 'brain extraction', 'segmentation into grey and white matter and cerebrospinal fluid', 'affine alignment to MNI152 standard space', 'non-linear registration', 'modulation by Jacobian of the warp field', 'smoothing with isotropic Gaussian kernel']",voxelwise regression,,,,,,3601087
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['true', 'false']",,3T,gradient echo,EPI,2.5,SPM12,"['motion correction', 'slice timing correction', 'fieldmap correction', 'realignment', 'co-registration', 'normalization', 'smoothing']",GLM,,,,,,9951265
MRI,,,,,,360.0,,MPRAGE,3D,1.0x1.25,SPM,"['motion correction', 'nonlinear normalization', 'segmentation', 'smoothing']",GLM,,,,,,5405013
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['structured', 'random']",3600.0,3T,gradient echo,echo planar imaging (EPI),2.5 2.5 4,Brain Voyager QX,"['slice scan time correction', 'head motion correction', 'temporal high-pass filtering', 'removal of linear trends', 'spatial smoothing']",GLM,,,,,,5577855
fMRI-BOLD,task-based,mixed,cognitive,painful,"['control', 'experimental', 'rest']",1440.0,3T,gradient echo,echo planar imaging (EPI),1.98,SPM8,"['motion correction', 'coregistration', 'normalization', 'smoothing']",GLM,null,null,null,null,null,4708012
Diffusion MRI,,,,,,,3T,EP/S,,1x1x1,FSL,"['motion correction', 'eddy current correction']",TBSS,,,,,,5437169
Diffusion MRI,,,,,,,3T,spin echo,echo planar imaging (EPI),2.2,FSL,"['Eddy Current correction', 'Brain Extraction Tool (BET)']",GLM,,,,,,4245721
fMRI-BOLD,task-based,block,emotional,painful,"['phobic stimuli', 'neutral stimuli']",640.0,3T,gradient echo,3D,4x4,SPM 12,"['realigning', 'co-registering', 'segmenting', 'normalizing', 'smoothing']",GLM,null,null,null,null,null,6220927
Diffusion MRI,,,,,,437.0,3T,spin echo,echo planar imaging (EPI),2,SPM5,"['motion correction', 'slice timing correction']",GLM,,,,,,3882214
fMRI-BOLD,resting-state,,,,,240.0,3T,gradient echo,echo planar imaging (EPI),3mm,SPM12,"['slice-timing correction', 'head motion correction', 'spatial normalization', 'Gaussian smoothing', 'regression to remove covariates', 'linear drift and low-frequency filtering']",GLM,,,,,,11025562
fMRI-BOLD,resting-state,,,,,900.0,3T,gradient echo,3D,1.0,SPM,"['slice timing', 'head motion correction', 'spatial normalization', 'smoothening']",GLM,,,,,,6157537
fMRI-BOLD,resting-state,,,,,480.0,3T,gradient echo,echo planar imaging (EPI),3,SPM,"['motion correction', 'slice timing correction', 'temporal band-pass filtering']",ANCOVA,,,,,,5428452
,,,,,,,,,,,,,,,,,,,8139517
fMRI,task-based,event-related,cognitive,neutral,"['correct', 'error']",,3T,gradient echo,EPI,3,SPM,"['motion correction', 'slice timing correction']",GLM,,,,,,2886909
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['high neighborhood density', 'low neighborhood density']",90.0,3T,gradient echo,EPI,3x3x3,SPM8,"['realignment', 'unwarping', 'slice time correction', 'normalization', 'segmentation', 'denoising']",GLM,,,,,,4510423
fMRI-BOLD,task-based,event-related,cognitive,neutral,"['congruent', 'incongruent']",450.0,3T,gradient echo,EPI,2.67,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,3791293
fMRI-BOLD,task-based,block,cognitive,neutral,"['0-back', '2-back']",456.0,3T,gradient echo,echo planar imaging (EPI),3.8,SPM12,"['motion correction', 'slice timing correction']",GLM,,,,,,5326798
EEG,,event-related,auditory,,"['frequency deviant', 'duration deviant']",,,,,,Neuroscan,"['artifact rejection', 'band-pass filtering']",ANOVA,,,,,,1450276
PET,,,,,,2400.0,,,,,SPM,"['motion correction', 'coregistration', 'normalization', 'smoothing']",permutation tests,,,,,,8028241
fMRI-BOLD,task-based,mixed,cognitive,neutral,"['no monitoring', 'trial-by-trial monitoring', 'monitoring over time without a reference value', 'monitoring over time with respect to a reference value']",3000.0,3T,gradient echo,echo planar imaging (EPI),1.8,SPM8,"['motion correction', 'slice timing correction']",GLM,,,,,,4159987
